final_product_family,status,rows_available,training_rows,validation_rows,failure_count,failure_rate_pct,roc_auc,average_precision,model_path
0,trained,150000,112500,37500,831,0.5539999999999999,0.6631248633445821,0.02829576503728949,models\phase5_family_0_hgb.joblib
1,trained,132878,99658,33220,974,0.7330032059483135,0.7253217193229453,0.132513057805408,models\phase5_family_1_hgb.joblib
2,trained,150000,112500,37500,781,0.5206666666666667,0.676254300138498,0.02383959928503473,models\phase5_family_2_hgb.joblib
3,trained,125592,94194,31398,693,0.5517867380087904,0.7017527085252017,0.039178975310152735,models\phase5_family_3_hgb.joblib
4,trained,128104,96078,32026,944,0.7369012677199774,0.7576500445188499,0.11523773471692857,models\phase5_family_4_hgb.joblib
5,trained,99296,74472,24824,533,0.5367789236223011,0.7045291837182768,0.042069162243124444,models\phase5_family_5_hgb.joblib
6,trained,59988,44991,14997,304,0.5067680202707209,0.6573387384082483,0.02751570686182158,models\phase5_family_6_hgb.joblib
7,trained,148569,111426,37143,799,0.5377972524550881,0.6952195273800178,0.03730702445108951,models\phase5_family_7_hgb.joblib
