feature,mean_abs_shap,mean_signed_shap,line,station,feature_family,model_importance,driver_rank,driver_type
station_span,0.0019040232944836802,-0.0002482074487099394,path,path_level,path_or_family,27.0,82,Manufacturing path signal
L1_S24_F1657,0.0018604583743172549,0.0005470907442394776,L1,L1_S24,raw_measurement,30.0,83,Numeric process measurement
L2_S28_F3292,0.00185741185998894,-0.00019342158369367365,L2,L2_S28,raw_measurement,18.0,84,Numeric process measurement
first_station,0.0017183180386787583,0.00039664153543397026,path,path_level,path_or_family,8.0,85,Manufacturing path signal
L1_S24_F902,0.0016374657085731802,-3.8213324001510776e-05,L1,L1_S24,raw_measurement,31.0,86,Numeric process measurement
L1_S24_F1627,0.001494313730036068,0.0001435824293051708,L1,L1_S24,raw_measurement,35.0,87,Numeric process measurement
L1_S25_F2466,0.0014905911099975526,7.616522283686127e-05,L1,L1_S25,raw_measurement,44.0,88,Numeric process measurement
L1_S25_F2886,0.0014296754391818095,0.0002817955161707384,L1,L1_S25,raw_measurement,50.0,89,Numeric process measurement
L1_S24_F988,0.001416044702035941,-0.0002528435299438881,L1,L1_S24,raw_measurement,64.0,90,Numeric process measurement
L1_S25_F2464,0.0014076933015378687,-0.0003077394363791,L1,L1_S25,raw_measurement,15.0,91,Numeric process measurement
L0_S10_F215__is_missing,0.001404531119633306,-7.84263225140182e-05,L0,L0_S10,raw_measurement_missingness,10.0,92,Missingness / skipped measurement signal
L1_S24_F1622,0.0012608912011172625,9.364745218447601e-05,L1,L1_S24,raw_measurement,28.0,93,Numeric process measurement
L1_S24_F1326,0.001221477219835758,-5.0931874412066914e-05,L1,L1_S24,raw_measurement,56.0,94,Numeric process measurement
L1_S24_F867,0.0011264662308878408,-9.275495436906087e-05,L1,L1_S24,raw_measurement,83.0,95,Numeric process measurement
line_count,0.001122014999683423,-9.207777745252301e-05,line_level,line_level,line_timing,6.0,96,Line-level timing signal
L1_S24_F998,0.0011093124349803377,2.842538454768352e-05,L1,L1_S24,raw_measurement,31.0,97,Numeric process measurement
L1_S24_F1303,0.001026707745362933,-0.0001885395615270191,L1,L1_S24,raw_measurement,11.0,98,Numeric process measurement
L1_S24_F1207__is_missing,0.0010151491983690487,9.665758202659544e-05,L1,L1_S24,raw_measurement_missingness,3.0,99,Missingness / skipped measurement signal
L1_S24_F1748,0.0009585665818592184,-0.00015157706074219054,L1,L1_S24,raw_measurement,28.0,100,Numeric process measurement
