model,threshold,mcc,precision,recall,f1,pr_auc,rank
LightGBM,0.7850833205452785,0.3386417414608916,0.5743348982785602,0.21337209302325583,0.311148791860958,0.25286667663942697,1
XGBoost,0.7479382157325745,0.3359349120328091,0.5674418604651162,0.2127906976744186,0.3095137420718816,0.2468952367687519,2
CatBoost,0.7969582425203318,0.32792593069847553,0.5571205007824727,0.2069767441860465,0.30182280627384483,0.22606820935673178,3
Random Forest,0.6743278147830006,0.32500343685418026,0.5524256651017214,0.2052325581395349,0.2992793556591776,0.23900114051726595,4
Logistic Regression,0.8973034663760111,0.30454597994411325,0.5195618153364632,0.1930232558139535,0.281475201356507,0.16504215051326426,5
