model,threshold,mcc,precision,recall,f1,pr_auc,notes
Phase 6 LightGBM reference,0.7850833205452785,0.3386417414608916,0.5743348982785602,0.2133720930232558,0.311148791860958,0.2528666766394269,Production-safe supervised benchmark from Phase 6.
Failure trajectory prediction,0.9897109593489886,0.24188953621952297,0.46153846153846156,0.13953488372093023,0.21428571428571427,0.16480504072335286,"LightGBM model using timing, path, family, and ordered station-risk exposure."
MLP reconstruction anomaly detection,4.365520087499471,0.09233354964385501,0.2535211267605634,0.04186046511627907,0.0718562874251497,0.06428362023104596,Scikit-learn reconstruction model using 120 selected features.
Graph message-passing risk model,0.5287399291992188,0.061108218220343076,0.05335663616736918,0.30174418604651165,0.09067878046649777,0.0410833526815995,Logistic model using graph-propagated station risk exposure.
Isolation Forest anomaly detection,-0.12168610464969937,0.05371805704735845,0.04452380952380952,0.43488372093023253,0.08077753779697625,0.03951533876733559,Unsupervised model trained on normal products only.
