family,status,train_rows,train_failures,valid_rows,threshold,mcc,precision,recall,f1,pr_auc
0,family_model,36199,1036,11976,0.5124629020534064,0.17206647364179506,0.319672131147541,0.10833333333333334,0.16182572614107885,0.07665422891653986
2,family_model,34165,930,11415,0.5124690162081071,0.23274050202395904,0.41509433962264153,0.1437908496732026,0.21359223300970873,0.09377153050694106
7,family_model,21164,607,7166,0.5124689506683884,0.2668264499482846,0.463768115942029,0.16666666666666666,0.24521072796934865,0.11927690795226081
1,family_model,19202,744,6395,0.5124501597099738,0.39626026501733813,0.5170068027210885,0.33043478260869563,0.40318302387267907,0.2542521445458374
4,family_model,18392,708,5947,0.5122927210705047,0.2689446277399866,0.2552552552552553,0.3601694915254237,0.29876977152899825,0.16796926277043125
3,family_model,18210,515,6107,0.5123717849536341,0.21960123132682155,0.4,0.1348314606741573,0.20168067226890757,0.10460800885409986
5,family_model,14175,392,4863,0.5124700419556713,0.30915428105809545,0.5185185185185185,0.19858156028368795,0.28717948717948716,0.1613592477180999
6,family_model,8652,227,2851,0.5120883982175916,0.07168535444768094,0.04022526146419952,0.6493506493506493,0.07575757575757576,0.04283072311184597
